,Region,County,Area,Beach Name,Beach URL,Address1,Address2,Park Name,Owner URL,Activities,Amenities,Pet Policy,Fees,Phone,Other Names
0,Southern,San Diego County,Carlsbad,Carlsbad City Beach,https://www.californiabeaches.com/beach/carlsbad-city-beach/,Ocean Street and Grand Avenue,"Carlsbad, CA 92008",Carlsbad State Beach,http://www.carlsbadca.gov/about/visitorinfo/Pages/about-carlsbad-beaches1.aspx,"Sunbathing, Beach Walking",No Facilities,No dogs allowed on the beach or sea wall,Free street parking,,
1,Southern,San Diego County,Carlsbad,Carlsbad Lagoon Agua Hedionda,https://www.californiabeaches.com/beach/carlsbad-lagoon-agua-hedionda/,4750 Bayshore Dr,"Carlsbad, CA 92008",Public Lagoon,https://www.carlsbadca.gov/residents/fun/lagoons/agua.asp,"Kayaking, Canoeing, Stand-Up Paddleboarding, Boating, Fishing","Lagoon, Trails, Rentals",Leashed dogs ok on land but not in the water,Free street parking,760-434-3089,
2,Southern,San Diego County,Carlsbad,North Ponto Beach,https://www.californiabeaches.com/beach/north-ponto-beach/,Carlsbad Blvd and Island Way,"Carlsbad, CA 92011",South Carlsbad State Beach,http://www.parks.ca.gov/?page_id=660,"Surfing, Swimming, Fishing, Scuba Diving, Sunbathing","Restrooms, Lifeguard",No dogs allowed on the beach,Fee for parking,,
3,Southern,San Diego County,Carlsbad,Robert Frazee State Beach,https://www.californiabeaches.com/beach/robert-frazee-state-beach/,3150 Ocean Street,"Carlsbad, CA 92008",Carlsbad State Beach,http://www.parks.ca.gov/?page_id=653,"Surfing, Swimming, Sunbathing, Fishing, Running, Walking","Restrooms, Showers, Lifeguard, Grass Park, Benches",No dogs allowed on the beach,,,
4,Southern,San Diego County,Carlsbad,South Carlsbad State Beach,https://www.californiabeaches.com/beach/south-carlsbad-state-beach/,Carlsbad Blvd and Poinsettia Ln,"Carlsbad, CA 92011","South Carlsbad State Beach, Batiquitos Lagoon Nature Preserve",http://www.parks.ca.gov/?page_id=660,"Camping, Surfing, Swimming, Scuba Diving, Hiking, Fishing, Birdwatching","Campground, Fire Pits, Restrooms, Showers, Lifeguard, Camp Store",No dogs allowed on the beach,"Fee for camping, free day-use parking south of campground",(760) 438-3143,
5,Southern,San Diego County,Carlsbad,South Ponto Beach,https://www.californiabeaches.com/beach/south-ponto-beach/,Coast Hwy and La Costa Ave,"Encinitas, CA 92024",South Carlsbad State Beach,http://www.parks.ca.gov/?page_id=660,"Surfing, Sunbathing, Swimming, Fishing, Diving, Whale Watching","Restrooms, Showers, Lifeguard",No dogs allowed on the beach,"Fee for parking in lot, free parking outside",,
6,Southern,San Diego County,Carlsbad,Tamarack State Beach,https://www.californiabeaches.com/beach/tamarack-state-beach/,Carlsbad Blvd and Tamarack Ave,"Carlsbad, CA 92008",Carlsbad State Beach,http://www.parks.ca.gov/?page_id=653,"Surfing, Swimming, Sunbathing, Fishing, Scuba Diving, Running, Walking","Restrooms, Showers, Lifeguard",No dogs allowed on the beach,Fee for parking,,Tamarack Surf Beach
7,Southern,San Diego County,Carlsbad,Terramar Beach,https://www.californiabeaches.com/beach/terramar-beach/,Carlsbad Blvd and Cerezo Dr,"Carlsbad, CA 92008",South Carlsbad State Beach,,"Surfing, Tidepooling","Tide Pools, No Facilities",No dogs allowed on the beach,Free street parking,,"Carlsbad Tide Pools, Terra Mar Beach"
8,Southern,San Diego County,Carlsbad,Warm Water Jetty Beach,https://www.californiabeaches.com/beach/warm-water-jetty-beach/,4315 Carlsbad Blvd,"Carlsbad, CA 92008","Carlsbad State Beach, Agua Hedionda Lagoon Ecological Reserve",http://www.parks.ca.gov/?page_id=653,Surfing,"Lifeguard, Toilets",No dogs allowed on the beach,Free street parking,,Warm Waters Beach
9,Southern,San Diego County,Coronado,Breakers Beach,https://www.californiabeaches.com/beach/breakers-beach/,1401 Rogers Road,"Coronado, CA 92118",Naval Air Station North Island,,"Swimming, Sunbathing","Lodge, Swimming Pool, Golf Course, Restrooms, Grass Park, Shaded Cabanas, Lifeguard",,,,
