,id,title,name1,latitude,longitude,address,city,county,state,zip,county,active,grade_updated,dry_grade,wet_grade,annual_summer_dry,annual_year_wet,annual_winter_dry,annual_year,grade_created
0,1044,31502 Victoria Point,,34.035252000000000,-118.861320000000000,,Malibu,Los Angeles,CA,90265,Los Angeles,False,2018-07-04T12:39:31.100Z,ns,ns,,,,,2015-05-04T00:00:00.000Z
1,55,Abalone Cove Shoreline Park,Abalone Cove,33.741585000000000,-118.379189000000000,,Rancho Palos Verdes,Los Angeles -- LA Sanitation,CA,90275,Los Angeles -- LA Sanitation,True,2021-04-02T00:00:00.000Z,A+,A+,,,,,2021-04-02T00:00:00.000Z
2,133,Alamitos Bay - 56th Place - on bayside,Alamitos Bay,33.751183333000000,-118.125783333000000,,Long Beach,Los Angeles -- Long Beach,CA,90803,Los Angeles -- Long Beach,True,2020-04-10T00:00:00.000Z,C,ns,A,D,A,2018,2020-04-10T00:00:00.000Z
3,608,Alamitos Bay - Division Street and Bayshore,Alamitos Bay,33.756313000000000,-118.131158000000000,,Long Beach,Los Angeles -- Long Beach,CA,90803,Los Angeles -- Long Beach,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
4,135,Alamitos Bay - shore float,Alamitos Bay,33.754166666000000,-118.130950000000000,,Long Beach,Los Angeles -- Long Beach,CA,90803,Los Angeles -- Long Beach,True,2021-04-02T00:00:00.000Z,A+,B,A,C,A+,2018,2021-04-02T00:00:00.000Z
5,134,"Alamitos Bay, 1st & Bayshore",Alamitos Bay,33.755202000000000,-118.131713000000000,,Long Beach,Los Angeles -- Long Beach,CA,90803,Los Angeles -- Long Beach,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
6,137,"Alamitos Bay, 2nd St. Bridge & Bayshore",Alamitos Bay,33.757741000000000,-118.130160000000000,,Long Beach,Los Angeles -- Long Beach,CA,90803,Los Angeles -- Long Beach,True,2021-04-02T00:00:00.000Z,A+,ns,A,D,A+,2018,2021-04-02T00:00:00.000Z
7,218,Aliso County Beach,Aliso Creek Beach,33.510081000000000,-117.752961000000000,,Capistrano Beach,Orange,CA,92624,Orange,True,2021-03-26T00:00:00.000Z,A+,A+,A,F,A+,2018,2021-03-26T00:00:00.000Z
8,1055,Aliso Creek Ocean Interface (Point Zero),Aliso Creek Beach,33.510231000000000,-117.753150000000000,,,Orange,CA,,Orange,True,2021-03-26T00:00:00.000Z,ns,F,,,,,2021-03-26T00:00:00.000Z
9,630,Aquatic Park,Marina Lagoon,37.560274000000000,-122.291122000000000,,San Mateo,San Mateo,CA,94404,San Mateo,True,2020-12-04T00:00:00.000Z,A,ns,B,F,ns,2018,2020-12-04T00:00:00.000Z
10,495,"Aquatic Park Beach, 211 Station",Aquatic Park Beach,37.807677000000000,-122.422214000000000,,San Francisco,San Francisco,CA,94133,San Francisco,True,2021-04-02T00:00:00.000Z,A+,B,A,C,A,2018,2021-04-02T00:00:00.000Z
11,489,"Aquatic Park Beach, Hyde St. Pier (proj. of Larkin St.)",Aquatic Park Beach,37.808900000000000,-122.421166666000000,,San Francisco,San Francisco,CA,94109,San Francisco,True,2021-04-02T00:00:00.000Z,A+,ns,A+,A,A,2018,2021-04-02T00:00:00.000Z
12,74,Arroyo Burro Beach at Arroyo Burro Creek,Arroyo Burro Beach,34.402180000000000,-119.742308000000000,,Santa Barbara,Santa Barbara,CA,93109,Santa Barbara,True,2021-04-02T00:00:00.000Z,A,ns,A,D,C,2018,2021-04-02T00:00:00.000Z
13,64,Arroyo Quemada,Arroyo Quemada,34.470167000000000,-120.118972000000000,,Goleta,Santa Barbara,CA,93117,Santa Barbara,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
14,456,"Asilomar State Beach, Sunset Drive (formerly Arena)",Asilomar State Beach,36.627021000000000,-121.938322000000000,,Pacific Grove,Monterey,CA,93950,Monterey,True,2021-03-05T00:00:00.000Z,A+,ns,A,A+,ns,2018,2021-03-05T00:00:00.000Z
15,254,Avalon Beach - 100 feet east of the Green Pleasure Pier,Avalon Beach,33.343085000000000,-118.324197000000000,,Avalon,Los Angeles,CA,90704,Los Angeles,True,2020-11-06T00:00:00.000Z,A+,ns,A,A+,ns,2018,2020-11-06T00:00:00.000Z
16,250,Avalon Beach - 100 feet west of the Green Pleasure Pier,Avalon Beach,33.344138000000000,-118.325680000000000,,Avalon,Los Angeles,CA,90704,Los Angeles,True,2020-11-06T00:00:00.000Z,A,ns,A,A+,ns,2018,2020-11-06T00:00:00.000Z
17,253,Avalon Beach - 50 feet east of the Green Pleasure Pier,Avalon Beach,33.343383000000000,-118.324613000000000,,Avalon,Los Angeles,CA,90704,Los Angeles,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
18,251,Avalon Beach - 50 feet west of the Green Pleasure Pier,Avalon Beach,33.343862000000000,-118.325299000000000,,Avalon,Los Angeles,CA,90704,Los Angeles,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
19,249,Avalon Beach - east of the Casino Arch at the steps,Avalon Beach,33.345270000000000,-118.326740000000000,,Avalon,Los Angeles,CA,90704,Los Angeles,True,2020-11-06T00:00:00.000Z,A,ns,A,A+,ns,2018,2020-11-06T00:00:00.000Z
20,1068,"Avila Beach, 350 yards west of pier at creek outfall ",Avila Beach,35.179160000000000,-120.740480000000000,,Avila Beach,San Luis Obispo,CA,93424,San Luis Obispo,True,2021-04-02T00:00:00.000Z,A,A+,,,,,2021-04-02T00:00:00.000Z
21,394,"Avila Beach, projection of San Juan Street",Avila Beach,35.178392000000000,-120.736801000000000,,Avila Beach,San Luis Obispo,CA,93424,San Luis Obispo,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
22,396,"Avila Beach, projection of San Luis Street",Avila Beach,35.177793000000000,-120.732926000000000,,Avila Beach,San Luis Obispo,CA,93424,San Luis Obispo,True,2021-04-02T00:00:00.000Z,A+,A+,A+,B,A,2018,2021-04-02T00:00:00.000Z
23,496,"Baker Beach East, Ocean #15East",Baker Beach,37.792149000000000,-122.484946000000000,,San Francisco,San Francisco,CA,94121,San Francisco,True,2021-04-02T00:00:00.000Z,A+,A+,A,A,A,2018,2021-04-02T00:00:00.000Z
24,498,"Baker Beach West, Ocean #16",Baker Beach,37.789783000000000,-122.487303000000000,,San Francisco,San Francisco,CA,94121,San Francisco,True,2021-04-02T00:00:00.000Z,A+,A,A+,A,A,2018,2021-04-02T00:00:00.000Z
25,570,"Baker Beach, Horseshoe Cove NE",Fort Baker Beach,37.833500000000000,-122.474700000000000,,Sausalito,Marin,CA,94965,Marin,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
26,569,"Baker Beach, Horseshoe Cove NW",Fort Baker Beach,37.833200000000000,-122.477800000000000,,Sausalito,Marin,CA,94965,Marin,True,2020-11-06T00:00:00.000Z,A,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
27,568,"Baker Beach, Horseshoe Cove SW",Fort Baker Beach,37.832100000000000,-122.477400000000000,,Sausalito,Marin,CA,94965,Marin,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
28,497,"Baker Beach, Lobos Creek",Baker Beach,37.790485000000000,-122.486238000000000,,San Francisco,San Francisco,CA,94121,San Francisco,True,2021-04-02T00:00:00.000Z,A,A+,B,D,B,2018,2021-04-02T00:00:00.000Z
29,157,Balboa Beach - The Wedge,Balboa Beach,33.593690000000000,-117.881662000000000,,Newport Beach,Orange,CA,92661,Orange,True,2021-03-26T00:00:00.000Z,A+,A+,A+,A,A+,2018,2021-03-26T00:00:00.000Z
30,156,"Balboa Beach- Balboa Pier, upcoast side",Balboa Beach,33.600850000000000,-117.902853000000000,,Newport Beach,Orange,CA,92661,Orange,True,2021-03-26T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-03-26T00:00:00.000Z
31,155,Balboa Beach- projection of 15th/16th Street,Balboa Beach,33.605207000000000,-117.921962000000000,,Newport Beach,Orange,CA,92663,Orange,True,2021-03-26T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-03-26T00:00:00.000Z
32,1026,Battery Point Lighthouse,Crescent City,41.745084000000000,-124.201652000000000,,,Del Norte,CA,,Del Norte,True,2019-03-15T00:00:00.000Z,ns,,A,A+,ns,2018,2019-03-15T00:00:00.000Z
33,478,Bean Hollow State Beach,Bean Hollow State Beach,37.225422000000000,-122.409180000000000,,Pescadero,San Mateo,CA,94060,San Mateo,True,2021-04-02T00:00:00.000Z,A+,A+,A+,A+,A+,2018,2021-04-02T00:00:00.000Z
34,199,Belmont Pier - eastside,Belmont Pier,33.757633333000000,-118.147483333000000,,Long Beach,Los Angeles -- Long Beach,CA,90814,Los Angeles -- Long Beach,False,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
35,197,Belmont Pier - westside,Belmont Pier,33.758033333000000,-118.149033333000000,,Long Beach,Los Angeles -- Long Beach,CA,90814,Los Angeles -- Long Beach,True,2021-04-02T00:00:00.000Z,B,A+,A,F,D,2018,2021-04-02T00:00:00.000Z
36,576,Big River near PCH,Big River,39.302299000000000,-123.793009000000000,,Mendocino,Mendocino,CA,95460,Mendocino,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
37,13,Big Rock Beach at 19948 PCH stairs,Big Rock Beach,34.036408000000000,-118.609515000000000,,Malibu,Los Angeles,CA,90265,Los Angeles,True,2021-04-02T00:00:00.000Z,A+,ns,,,,,2021-04-02T00:00:00.000Z
38,481,Black Point Beach,Black Point Beach,38.683364391000000,-123.432257411000000,,The Sea Ranch,Sonoma,CA,95497,Sonoma,True,2020-11-06T00:00:00.000Z,A+,ns,A+,A+,ns,2018,2020-11-06T00:00:00.000Z
39,1052,Boca del Canon Beach (Point Zero),San Clemente,33.412950000000000,-117.614020000000000,,,Orange,CA,,Orange,True,2019-03-15T00:00:00.000Z,ns,,,,,,2019-03-15T00:00:00.000Z
40,557,Bolinas Beach (Wharf Rd),Bolinas Beach,37.905200000000000,-122.683000000000000,,Bolinas,Marin,CA,94924,Marin,True,2020-11-06T00:00:00.000Z,A+,ns,A,A+,ns,2018,2020-11-06T00:00:00.000Z
41,143,Bolsa Chica Beach - across from the Reserve Flood Gates,Bolsa Chica State Beach,33.701814000000000,-118.055228000000000,,Huntington Beach,Orange,CA,92649,Orange,True,2021-03-26T00:00:00.000Z,A+,A+,A+,B,A,2018,2021-03-26T00:00:00.000Z
42,144,Bolsa Chica Reserve at the downcoast end of the State Beach,Bolsa Chica State Beach,33.688065000000000,-118.042182000000000,,Huntington Beach,Orange,CA,92648,Orange,True,2021-03-26T00:00:00.000Z,A+,A+,A,A+,A,2018,2021-03-26T00:00:00.000Z
43,381,"Border Field State Park, Border Fence (north side)",Border Field State Park,32.535300000000000,-117.125000000000000,,Imperial Beach,San Diego,CA,91932,San Diego,True,2021-04-02T00:00:00.000Z,F,ns,A,F,ns,2018,2021-04-02T00:00:00.000Z
44,380,"Border Field State Park, proj. of Monument Rd.",Border Field State Park,32.543300000000000,-117.125000000000000,,Imperial Beach,San Diego,CA,91932,San Diego,True,2021-04-02T00:00:00.000Z,F,ns,A,F,ns,2018,2021-04-02T00:00:00.000Z
