id,region,county,area,beach_name,beach_url,address,city,state,zip,latitude,longitude,park_name,owner,owner_url,activities,amenities,pet_policy,pets_allowed,fees,free_parking,phone,other_names
4737,Central,Monterey,Pacific Grove,Spanish Bay Beach,https://www.californiabeaches.com/beach/spanish-bay-beach/,1955 Sunset Dr,Pacific,CA,93950,36.615819,-121.943513,Asilomar State Beach,City Beach,http://www.pebblebeach.com/,"Surfing, Walking, Sunbathing","Boardwalk, Trails, Dunes",No dogs allowed on the beach,N,Free parking along Sunset Drive,Y,"",""
4738,Central,Monterey,Pebble Beach,Bird Rock Beach 2,https://www.californiabeaches.com/beach/bird-rock-beach-2/,17 Mile Dr and Bird Rock Rd,Pebble,CA,93953,36.594534,-121.961788,"",Public,http://www.pebblebeach.com/,"Birdwatching, Picnicking, Walking","Picnic Tables, Restrooms, Walking Path, Tide Pools",No dogs allowed on the beach,N,Fee for entrance into Pebble Beach community,N,"",""
4739,Central,Monterey,Pebble Beach,Fanshell Beach,https://www.californiabeaches.com/beach/fanshell-beach/,3141 17 Mile Dr,Pebble,CA,93953,36.58224,-121.967978,"",City Beach,http://www.pebblebeach.com/,"Picnicking, Wildlife Watching, Birdwatching","Tide Pools, No Facilities",No dogs allowed on the beach,N,Fee for entrance into Pebble Beach community,N,"",Fan Shell Beach
4740,Central,Monterey,Pebble Beach,Moss Beach,https://www.californiabeaches.com/beach/moss-beach/,17 Mile Dr and Spanish Bay Rd,Pebble,CA,93953,36.609798,-121.948653,"",Public,http://www.pebblebeach.com/,"Picnicking, Walking","Picnic Tables, Boardwalk, Tide Pools",No dogs allowed on the beach,N,Fee for entrance into Pebble Beach community,N,"",""
4741,Central,Monterey,Pebble Beach,Seal Rock Creek Beach,https://www.californiabeaches.com/beach/seal-rock-creek-beach/,17 Mile Dr and Bird Rock Rd,Pebble,CA,93953,36.589525,-121.963579,"",Public,http://www.pebblebeach.com/,"Picnicking, Birdwatching","Trails, Restrooms, Picnic Tables, Tide Pools",No dogs allowed on the beach,N,Fee for entrance into Pebble Beach community,N,"",""
4742,Central,Monterey,Pebble Beach,Spanish Bay Beach,https://www.californiabeaches.com/beach/spanish-bay-beach/,1955 Sunset Dr,Pacific,CA,93950,36.615819,-121.943513,Asilomar State Beach,City Beach,http://www.pebblebeach.com/,"Surfing, Walking, Sunbathing","Boardwalk, Trails, Dunes",No dogs allowed on the beach,N,Free parking along Sunset Drive,Y,"",""
4743,Central,Monterey,Pebble Beach,Stillwater Cove Beach,https://www.californiabeaches.com/beach/stillwater-cove-beach/,1576 Cypress Dr,Pebble,CA,93953,36.565881,-121.941083,"",Public,http://www.pebblebeach.com/,"Kayaking, Scuba Diving, Boating",Restrooms,No dogs allowed on the beach,N,Fee for entrance into Pebble Beach community,N,"",""
4744,Central,Monterey,Sand City,Sand City Beach,https://www.californiabeaches.com/beach/sand-city-beach/,905 Playa Ave,Sand,CA,93955,36.621846,-121.848067,Eolian Dunes Preserve,City,http://www.mprpd.org/index.cfm/id/14/Eolian-Dunes-Preserve/,"Beachcombing, Biking, Skating, Hiking, Beach Walking","Dunes, Trails, Seaglass, No Facilities",Dogs allowed on leash,Y,Free parking,Y,"",Sand City Municipal Beach
4745,Central,Monterey,Sand City,The Crater Beach,https://www.californiabeaches.com/beach/the-crater-beach/,California Ave and Cabrillo Hwy,Sand,CA,93955,36.62626,-121.843649,"",City,"","Beachcombing, Sunbathing","Paved Bike Path, Dunes, No Facilities",Dogs allowed on leash,Y,Free parking at the mall,Y,"",""
4746,Central,Monterey,Seaside,Monterey State Beach Roberts Beach,https://www.californiabeaches.com/beach/monterey-state-beach-roberts-beach/,2600 Sand Dunes Dr,Monterey,CA,93940,36.6097,-121.86147,Monterey State Beach,State Park,http://www.parks.ca.gov/?page_id=576,"Biking, Skating, Scuba Diving, Surfing, Tidepooling, Fishing, Beachcombing, Beach Walking, Bodyboarding","Tide Pools, Dunes, Paved Bike Path, Toilets",Dogs on leash are allowed at Monterey State Beach south of the resort hotel,Y,Free parking,Y,"","Houghten M. Roberts Beach, Sand Dunes Drive Beach"
4747,Central,Monterey,Seaside,Monterey State Beach Seaside Beach,https://www.californiabeaches.com/beach/monterey-state-beach-seaside-beach/,Canyon Del Rey Blvd and Sand Dunes Dr,Seaside,CA,93940,36.613185,-121.85711,Monterey State Beach,State Park,http://www.parks.ca.gov/?page_id=576,"Biking, Skating, Beachcombing, Beach Walking, Surfing, Bodyboarding","Lifeguard, Toilets, Dunes, Paved Bike Path",No dogs allowed on the beach,N,Free parking,Y,"",""
4748,Central,Santa Cruz,Aptos,Beer Can Beach,https://www.californiabeaches.com/beach/beer-can-beach/,1094 Via Palo Alto,Aptos,CA,95003,36.95334,-121.88397,"",County,"","Sunbathing, Beach Walking, Surfing","Train Trestle, No Facilities",Dogs allowed on leash,Y,Free parking,Y,"","Dolphin & Sumner Beach, Palo Alto Beach Access"
4749,Central,Santa Cruz,Aptos,Hidden Beach Park,https://www.californiabeaches.com/beach/hidden-beach-park/,660 Cliff Dr,Aptos,CA,95003,36.95804,-121.88958,Hidden Beach Park,County,http://www.scparks.com/Home/Parks/ListofAllCountyParks/HiddenBeachPark.aspx,"Picnicking, Beach Walking, Sunbathing, Bodyboarding","Grass Park, Kids Play Area, Restrooms, Picnic Tables, Toilets",Dogs allowed on leash,Y,Free parking,Y,"",""
