id,json_id,name1,latitude,longitude,address,city,county,state,zip,active,grade_updated,dry_grade,wet_grade,annual_summer_dry,annual_year_wet,annual_winter_dry,annual_year,grade_created
1,41,Dockweiler State Beach,33.918933,-118.431592,,Playa Del Rey,Los Angeles,CA,90293,"",2008-04-29,A,ns,"","","","",2008-04-29
2,44,Manhattan Beach,33.883814,-118.413234,"",Manhattan Beach,Los Angeles -- Redondo,CA,90266,"",2008-04-29,A+,ns,"","","","",2008-04-29
3,37,Dockweiler State Beach,33.9611547,-118.4562179,,Playa Del Rey,Los Angeles,CA,90293,"",2008-04-29,A,ns,"","","","",2008-04-29
4,38,Dockweiler State Beach,33.956461,-118.451844,"",Playa Del Rey,Los Angeles -- LA City,CA,90293,"",2008-04-29,A+,ns,"","","","",2008-04-29
5,42,Dockweiler State Beach,33.915612,-118.429727,,Manhattan Beach,Los Angeles,CA,90266,"",2008-04-29,A+,ns,"","","","",2008-04-29
6,60,Cabrillo Beach,33.71116,-118.282941,"",San Pedro,Los Angeles -- LA City,CA,90731,"",2008-04-29,F,ns,"","","","",2008-04-29
7,188,Long Beach,33.751566666,-118.133483333,"",Long Beach,Los Angeles -- Long Beach,CA,90803,"",2008-04-24,A,ns,"","","","",2008-04-24
8,59,Cabrillo Beach,33.708894,-118.284008,"",San Pedro,Los Angeles -- LA City,CA,90731,"",2008-04-29,A+,ns,"","","","",2008-04-29
9,507,Manhattan Beach,33.894457,-118.418925,,Manhattan Beach,Los Angeles,CA,90266,"",2008-04-29,A+,ns,"","","","",2008-04-29
10,48,Redondo State Beach,33.838682,-118.391252,"",Redondo Beach,Los Angeles -- LA City,CA,90277,"",2008-04-29,A,ns,"","","","",2008-04-29
11,58,Wilder Annex,33.707601,-118.295355,"",San Pedro,Los Angeles -- LA Sanitation,CA,90731,"",2008-04-29,A+,ns,"","","","",2008-04-29
12,133,Alamitos Bay,33.751183333,-118.125783333,"",Long Beach,Los Angeles -- Long Beach,CA,90803,"",2008-04-24,A+,ns,"","","","",2008-04-24
